scientificName,decimalLongitude,decimalLatitude,locality
Example atlantica,-43.20,-22.90,Rio de Janeiro
Example atlantica,-43.45,-22.75,Nova Iguacu
Example atlantica,-42.95,-22.55,Cachoeiras de Macacu
Example atlantica,-43.70,-23.00,Mangaratiba
Example atlantica,-43.10,-22.40,Petropolis
Example cerradensis,-47.90,-15.80,Brasilia
Example cerradensis,-48.30,-16.20,Luziania
Example cerradensis,-47.40,-15.30,Planaltina
Example cerradensis,-48.05,-15.55,Sobradinho
Example cerradensis,-47.70,-16.00,Santa Maria
